sim,year,cx,cy,cz,volume,mass_kg
59,60,5050.0,2550.0,1242.53,2364580.0,20950844.116
59,80,5050.0,2550.0,1243.21,2364580.0,29234611.845
59,100,5050.0,2550.0,1241.93,2364580.0,37115896.422
59,120,5050.0,2542.43,1226.06,2849610.0,44427373.533
59,150,5050.0,2528.09,1207.06,3334640.0,54593715.201
59,200,5050.0,2510.28,1169.53,4304700.0,71635750.497
60,80,5050.0,2550.0,1175.91,970060.0,19364766.662
60,100,5050.0,2550.0,1175.83,970060.0,24642081.576
60,120,5050.0,2550.0,1175.77,970060.0,29564967.674
60,150,5050.0,2550.0,1175.7,970060.0,36445512.652
60,200,5050.0,2550.0,1175.61,970060.0,48079153.57
62,20,5050.0,2550.0,499.43,2432500.0,7156262.5769
62,30,5050.0,2550.0,375.43,5357380.0,17335501.954
62,40,5057.76,2549.48,92.39,18194380.0,28123019.814
62,50,5065.03,2549.03,69.35,25081620.0,39059738.362
62,60,5071.11,2548.79,63.13,28943980.0,49377432.188
62,80,5080.54,2548.46,58.93,34268780.0,68428583.303
62,100,5085.67,2548.13,57.15,38856100.0,86464264.278
62,120,5090.72,2547.94,56.79,41880980.0,103006721.31
62,150,5093.99,2548.15,56.58,44180900.0,125763915.05
62,200,5099.89,2547.42,57.24,50818140.0,163241629.99
63,100,5050.0,2550.0,786.55,970060.0,13055406.216
63,120,5050.0,2550.0,805.01,1455090.0,15720668.653
63,150,5050.0,2550.0,821.24,1940120.0,19475729.423
63,200,5050.0,2550.0,834.3,2425150.0,25910175.581
64,10,5050.0,2550.0,709.52,1455090.0,10597815.724
64,20,5050.89,2550.0,712.43,2910180.0,76277743.138
64,30,5049.29,2554.18,741.01,8730540.0,159799015.88
64,40,5068.83,2563.87,758.66,16976050.0,251315022.84
64,50,5104.36,2568.79,765.83,27646710.0,345305401.89
64,60,5138.04,2572.68,761.12,36867180.0,430307439.75
64,80,5223.42,2593.44,693.3,57275190.0,579608433.48
64,100,5302.51,2623.49,574.72,75057320.0,719223799.78
64,120,5357.86,2637.11,529.93,87467370.0,843746282.82
64,150,5408.9,2646.91,509.41,104830170.0,1010561325.8
64,200,5456.07,2652.72,507.23,118725710.0,1273529847.1
65,10,5050.0,2550.0,1145.01,2404960.0,21272199.297
65,20,5057.52,2550.38,967.27,8710350.0,106562021.88
65,30,5087.5,2559.22,831.82,19866040.0,206009943.16
65,40,5124.92,2558.65,752.91,32961850.0,315283388.52
65,50,5173.94,2553.17,707.26,44607470.0,427625600.24
65,60,5231.28,2540.17,681.49,54805350.0,528871726.5
65,80,5318.85,2527.69,660.96,70338560.0,705964641.69
65,100,5389.02,2515.82,643.14,86373950.0,871400043.41
65,120,5445.6,2501.84,617.61,98044070.0,1018610695.9
65,150,5518.54,2486.1,570.26,111231530.0,1215384281.1
65,200,5568.1,2485.31,556.53,115716400.0,1524459887.6
66,100,5050.0,2550.0,1248.51,464840.0,11094811.204
66,120,5050.0,2550.0,1294.15,697260.0,13372371.047
66,150,5050.0,2550.0,1309.14,929680.0,16587775.222
66,200,5050.0,2550.0,1310.8,1859360.0,22116400.871
68,10,5050.0,2550.0,1201.02,485030.0,15827484.675
68,20,5052.71,2550.0,1174.28,5001960.0,91790010.85
68,30,5068.91,2548.17,397.77,26298720.0,184140367.78
68,40,5240.02,2531.64,119.03,89491130.0,285494171.5
68,50,5395.6,2508.73,88.29,135842090.0,389649457.21
